,Is safe from accidents,Has comftarble seating,Gives me the ability to work read and sleep,Is relaxing,Is mostly on time,Can interact with tohers,Is clean,Is good for the environment,Is a good value for the money,Is convienent to use,Overall Rating
1814,10,3,1,4,6,6,3,9,6,8,7
1815,10,3,2,6,10,6,5,6,8,4,10
1816,9,6,10,8,5,8,4,5,4,1,9
1817,6,5,9,3,8,6,3,5,8,2,2
1818,8,7,7,3,6,6,9,6,6,7,9
1819,3,5,9,10,1,5,2,4,4,4,5
1820,8,8,8,6,8,4,1,7,9,4,8
1821,7,7,6,2,8,2,5,5,8,3,7
1822,4,6,9,1,10,2,8,3,7,4,1
1823,2,2,6,3,6,2,5,2,3,7,9
1824,5,10,4,10,4,2,4,8,1,7,2
1825,2,3,2,5,10,9,10,9,5,2,2
1826,6,3,10,7,1,1,9,10,10,8,3
1827,2,8,2,1,10,9,2,8,4,8,2
1828,9,8,6,9,10,1,2,4,2,2,1
1829,4,5,5,10,1,1,4,10,6,3,9
1830,5,7,4,6,3,3,8,1,1,3,4
1831,6,10,9,7,4,4,9,4,6,8,7
1832,3,4,5,6,9,1,9,9,4,3,9
1833,8,1,6,1,4,8,2,6,3,4,7
1834,5,9,8,6,3,4,9,1,10,9,2
1835,2,7,10,1,2,9,7,2,2,8,6
1836,4,10,2,9,1,1,9,8,2,1,6
1837,1,7,10,7,1,1,10,4,7,2,3
1838,1,9,6,4,10,5,4,6,10,9,4
1839,9,2,5,7,8,6,8,9,2,8,8
1840,3,7,1,7,2,4,8,4,5,1,2
1841,1,6,10,6,6,5,2,1,4,5,2
1842,6,4,9,1,7,7,8,7,4,10,4
1843,10,9,4,10,3,5,7,7,1,2,9
1844,7,10,2,8,6,8,10,2,3,1,6
1845,4,4,3,7,6,9,3,7,6,8,10
1846,4,2,1,5,4,6,4,6,8,8,8
1847,9,8,9,4,3,8,9,7,4,7,9
1848,1,3,10,2,10,1,3,1,3,1,6
1849,3,2,4,10,6,3,3,10,8,8,10
1850,6,9,8,8,3,4,5,8,10,9,5
1851,3,5,7,1,7,8,5,6,7,7,5
1852,7,6,8,10,6,2,6,4,3,9,2
1853,1,8,9,10,7,10,8,7,1,4,3
1854,2,5,5,3,4,3,10,5,8,7,9
1855,3,2,7,6,9,4,9,4,1,1,10
1856,7,1,5,6,10,4,5,7,9,10,1
1857,5,6,6,4,8,6,8,2,4,3,3
1858,9,10,8,10,7,7,9,10,3,5,1
1859,7,7,4,2,4,2,4,8,4,2,3
1860,3,5,6,9,4,9,9,7,9,6,6
1861,10,9,10,10,9,3,7,9,9,3,9
1862,9,9,1,5,8,1,4,8,9,8,8
1863,10,10,10,5,5,5,6,1,4,3,1
1864,8,3,3,3,5,10,1,4,9,3,1
1865,5,4,6,4,6,5,1,9,5,1,3
1866,9,7,10,4,2,4,9,7,1,9,4
1867,2,9,7,5,8,8,10,8,1,2,5
1868,1,5,4,9,1,5,6,5,9,2,3
1869,10,4,4,10,5,9,1,8,5,3,6
1870,8,3,1,6,3,2,7,1,4,10,6
1871,10,5,2,2,1,7,6,5,9,7,1
1872,10,4,1,1,3,3,10,10,10,9,9
1873,6,2,4,6,6,2,4,1,5,8,2
1874,1,10,5,10,6,6,7,9,3,2,7
1875,2,1,10,2,4,1,1,5,3,2,3
1876,5,1,3,10,2,10,6,2,5,4,5
1877,8,8,2,9,9,4,4,9,5,3,5
1878,1,8,7,1,1,5,7,5,8,2,10
1879,3,4,10,3,6,10,2,1,6,1,9
1880,2,3,2,2,3,10,6,6,7,10,2
1881,2,3,5,4,6,1,2,8,10,10,1
1882,8,5,2,6,4,5,7,3,8,1,9
1883,7,1,3,10,9,4,3,10,1,6,6
1884,4,2,4,4,10,6,2,1,7,7,3
1885,4,5,7,4,7,3,7,8,4,1,1
1886,9,3,2,3,4,10,10,6,3,5,6
1887,1,9,3,8,7,10,2,6,6,7,8
1888,1,1,9,10,10,9,1,5,2,10,7
1889,5,2,5,7,8,3,8,10,8,3,1
1890,4,10,6,6,10,3,9,3,9,7,7
1891,8,2,8,3,3,9,4,4,4,10,10
1892,6,6,9,3,9,6,6,4,7,5,9
1893,7,3,5,6,9,9,8,6,3,8,4
1894,5,5,8,1,6,9,8,3,10,6,7
1895,8,10,7,10,4,8,8,1,2,3,2
1896,9,6,10,10,4,6,9,6,1,10,1
1897,1,3,8,1,10,4,4,9,3,2,10
1898,3,7,5,8,1,10,7,4,9,10,3
1899,5,8,6,4,7,2,7,2,1,7,8
1900,3,7,10,4,4,1,4,7,10,3,4
1901,6,6,3,6,3,4,6,9,4,4,2
1902,10,10,7,5,5,6,10,2,3,9,8
1903,1,6,3,5,7,7,8,5,3,4,4
1904,8,8,5,2,8,8,4,9,3,10,8
1905,8,10,10,4,7,4,5,4,7,5,2
1906,1,7,3,7,4,10,8,7,3,9,8
1907,2,8,2,10,5,1,9,5,6,6,3
1908,5,4,5,1,10,10,8,8,10,7,4
1909,2,6,6,1,4,7,2,1,3,7,6
1910,3,4,10,1,1,2,7,5,4,9,2
1911,1,9,5,3,6,7,4,7,5,8,4
1912,5,5,7,9,3,9,10,1,2,10,3
1913,7,4,1,1,7,10,9,9,9,8,1
1914,10,6,2,3,5,6,9,9,9,1,10
1915,6,8,5,5,5,5,2,6,1,2,2
1916,4,10,8,4,7,8,10,9,2,1,7
1917,3,4,4,2,2,5,10,5,7,2,1
1918,5,1,6,1,5,3,7,2,1,9,10
1919,10,2,9,1,7,6,2,7,4,7,6
1920,10,2,5,9,6,7,2,7,3,6,6
1921,5,4,8,1,8,5,2,4,6,10,4
1922,4,1,5,8,5,10,7,3,2,1,9
1923,10,7,1,1,5,2,2,7,10,3,3
1924,1,6,4,4,9,7,4,6,1,8,3
1925,8,7,6,6,9,6,10,4,9,4,5
1926,3,10,4,7,1,3,9,10,6,2,10
1927,2,8,7,8,5,2,10,3,6,9,3
1928,6,2,3,10,2,7,10,5,9,1,10
1929,10,10,3,5,6,9,1,5,4,8,7
1930,4,1,6,3,5,4,3,4,1,8,1
1931,6,2,4,10,2,9,9,4,6,8,4
1932,2,9,9,2,2,2,9,5,2,9,6
1933,9,5,1,3,2,2,6,7,6,5,1
1934,9,9,8,5,6,5,5,8,6,6,8
1935,9,8,5,5,6,7,6,9,2,8,3
1936,3,4,9,7,2,5,1,8,8,4,9
1937,6,1,4,1,6,8,3,6,7,3,1
1938,9,7,5,8,6,7,9,7,8,7,10
1939,8,8,7,10,5,10,10,9,2,9,5
1940,7,4,8,4,1,2,3,2,4,8,5
1941,9,1,5,8,8,2,5,7,7,7,9
1942,9,9,1,4,4,1,7,6,2,2,7
1943,1,1,6,3,2,4,1,2,1,4,4
1944,3,3,6,2,2,1,7,1,8,3,3
1945,3,1,7,7,5,7,1,3,3,3,3
1946,9,1,1,10,2,5,5,8,8,8,5
1947,5,10,10,5,7,10,10,7,7,8,4
1948,4,8,5,1,10,5,4,8,8,10,9
1949,10,5,7,3,1,9,6,1,9,8,3
1950,3,3,10,2,5,5,9,3,9,4,5
1951,4,8,3,2,7,9,7,10,6,10,3
1952,4,1,8,7,7,6,6,8,2,10,5
1953,4,6,4,10,7,6,8,2,9,9,9
1954,5,6,5,4,8,3,10,2,10,7,6
1955,8,9,8,8,6,1,10,1,5,6,6
1956,8,6,7,8,3,6,3,4,8,1,1
1957,3,4,8,4,10,1,5,2,1,7,1
1958,1,8,4,10,3,6,7,10,9,9,5
1959,5,10,10,7,3,8,9,2,6,10,4
1960,9,10,2,9,4,4,8,1,6,5,10
1961,3,5,9,4,2,10,3,8,2,9,1
1962,10,6,1,5,1,8,7,1,8,10,4
1963,10,3,1,4,1,1,1,2,8,6,2
1964,8,5,2,1,7,7,6,1,7,1,6
1965,7,2,2,7,10,9,5,7,7,3,7
1966,10,9,8,9,2,7,5,6,10,10,2
1967,6,10,1,3,2,9,10,2,2,1,4
1968,3,5,5,8,4,10,9,6,5,7,4
1969,5,5,5,10,7,9,7,6,2,9,8
1970,7,10,7,5,6,7,2,1,5,3,4
1971,1,9,10,10,7,6,2,3,7,3,5
1972,7,2,2,8,7,3,5,6,4,8,3
1973,1,9,3,4,9,3,7,2,5,1,2
1974,6,1,2,5,7,8,4,5,10,4,10
1975,4,5,4,10,2,9,3,3,7,8,10
1976,5,4,3,8,3,5,5,5,3,10,9
1977,5,1,5,8,2,5,4,10,10,10,6
1978,6,9,9,7,6,3,2,9,7,5,3
1979,2,3,10,6,9,7,4,7,10,5,1
1980,7,7,8,2,6,5,5,2,6,9,8
1981,8,2,8,10,5,3,9,4,3,6,9
1982,2,9,1,3,7,9,6,10,3,3,7
1983,3,2,7,4,4,6,5,7,1,10,4
1984,10,3,7,8,9,1,3,10,8,10,8
1985,2,10,5,5,9,8,7,2,3,3,5
1986,10,3,4,1,3,6,2,8,6,9,5
1987,1,9,5,4,2,6,3,6,2,9,1
1988,3,2,10,5,4,5,3,8,6,1,3
1989,6,9,10,5,7,2,1,5,10,8,7
1990,9,4,2,9,2,10,8,8,8,7,10
1991,2,7,4,4,6,9,3,4,10,3,10
1992,6,6,9,4,1,10,10,8,5,9,5
1993,10,5,1,8,2,7,1,8,1,2,4
1994,8,9,10,9,4,2,7,3,5,5,3
1995,3,4,4,9,7,3,9,7,6,2,1
1996,8,5,8,4,8,4,7,5,10,10,9
1997,5,2,9,9,3,7,9,8,3,6,9
1998,9,3,3,3,5,6,5,4,5,6,4
1999,1,5,4,8,9,4,9,4,5,6,4
2000,6,2,1,1,4,6,2,8,3,2,7
2001,4,3,7,6,8,5,8,3,9,1,9
2002,2,10,4,7,4,1,9,3,1,7,7
2003,8,9,8,3,4,7,5,4,2,1,7
2004,5,3,4,8,1,4,5,3,4,3,3
2005,7,10,4,4,3,2,3,9,1,9,5
2006,7,5,9,8,1,5,6,9,2,10,4
2007,8,2,7,4,6,3,8,10,2,4,9
2008,5,9,6,1,2,9,4,9,8,10,4
2009,4,7,2,4,10,6,1,1,3,4,3
2010,6,6,2,5,8,2,8,2,6,5,9
2011,9,6,1,7,10,1,3,3,8,4,2
2012,7,5,6,7,7,6,9,3,3,5,4
2013,1,8,8,9,6,5,10,8,10,3,6
2014,7,6,8,10,2,9,5,8,5,8,5
2015,10,8,4,8,4,2,9,10,7,4,7
2016,1,6,2,4,1,1,2,3,5,7,3
2017,10,10,5,10,3,6,9,7,10,8,7
2018,1,6,4,1,8,7,7,6,3,9,2
2019,1,5,10,6,1,9,9,8,10,2,2
2020,3,10,5,7,3,10,5,7,8,9,10
2021,2,9,8,3,1,7,8,9,2,7,9
2022,3,5,4,2,7,4,6,10,3,10,9
2023,1,8,6,10,3,9,2,7,9,10,5
2024,3,2,8,6,7,6,8,9,1,1,2
2025,9,1,7,2,2,9,8,8,7,4,9
2026,5,4,9,7,8,10,10,2,8,2,8
2027,9,5,10,3,2,1,8,8,2,4,8
2028,1,5,1,6,3,10,2,9,7,6,2
2029,6,8,5,10,1,9,8,10,9,10,5
2030,4,8,9,8,10,3,6,3,6,9,3
2031,1,4,8,7,10,6,1,7,8,2,5
2032,4,3,8,9,7,2,4,1,3,5,2
2033,7,6,5,8,2,10,1,1,9,9,3
2034,6,8,8,2,7,10,10,4,10,1,1
2035,10,5,3,1,2,10,4,3,1,5,7
2036,4,8,8,8,10,8,1,2,9,6,5
2037,8,2,7,10,8,6,4,1,2,6,9
2038,1,9,1,8,5,1,4,8,7,4,6
2039,3,4,4,2,6,2,3,4,1,5,10
2040,2,7,2,8,9,5,8,3,5,4,3
2041,7,9,9,5,4,2,6,7,5,7,5
2042,4,3,9,5,2,7,10,2,5,5,8
2043,8,8,7,8,5,5,9,8,8,1,4
2044,9,6,3,6,10,2,6,3,9,10,1
2045,2,6,9,10,8,8,7,10,3,8,1
2046,4,2,7,9,10,8,1,7,4,2,6
2047,5,1,7,2,3,4,5,3,4,7,2
2048,10,7,6,6,10,6,1,9,5,7,3
2049,1,8,2,5,5,9,5,6,7,8,4
2050,1,2,1,4,2,1,3,1,10,10,1
2051,4,10,3,4,10,3,9,10,10,6,7
2052,1,3,8,2,5,9,4,5,9,10,10
2053,4,7,9,3,7,2,8,7,2,7,1
2054,1,8,9,7,6,6,2,4,3,8,10
2055,1,1,5,7,9,2,4,2,7,1,10
2056,5,10,3,6,9,5,4,10,10,7,5
2057,1,9,3,2,2,10,5,8,9,5,2
2058,10,10,6,3,8,2,3,8,3,6,3
2059,3,6,1,1,3,6,9,7,4,3,3
2060,3,9,3,1,10,10,5,3,6,1,2
2061,6,10,7,6,9,5,4,8,7,3,9
2062,2,8,1,1,8,9,3,6,4,7,10
2063,4,9,10,5,6,7,3,5,8,7,4
2064,3,2,10,7,10,2,6,4,8,7,1
2065,6,6,8,4,1,10,1,8,9,9,6
2066,9,6,2,4,10,6,7,2,1,3,2
2067,6,4,6,1,8,3,8,10,6,2,10
2068,10,8,10,4,4,6,2,10,9,5,2
2069,1,1,5,7,1,8,10,4,6,8,7
2070,4,7,7,5,1,7,10,7,7,5,6
2071,4,4,2,8,9,2,1,10,2,1,6
2072,10,3,6,5,3,2,3,7,2,10,4
2073,4,9,9,6,3,8,9,10,2,1,6
2074,6,2,9,10,10,8,3,8,2,8,1
2075,3,3,6,2,8,1,1,3,8,5,6
2076,2,5,8,6,5,2,8,4,9,10,7
2077,5,10,3,9,8,6,3,8,4,1,1
2078,9,5,9,7,10,5,3,8,6,6,10
2079,8,4,6,8,6,7,2,7,10,4,3
2080,4,9,5,5,7,2,4,6,8,1,1
2081,3,2,8,2,1,9,10,3,7,8,5
2082,6,10,5,4,4,5,9,7,3,10,8
2083,2,4,2,6,3,4,4,9,1,5,9
2084,9,8,3,9,8,9,10,5,1,9,9
2085,4,5,1,1,6,5,8,3,5,8,9
2086,8,10,2,6,8,4,5,6,10,4,6
2087,2,4,2,7,2,7,5,8,4,4,2
2088,2,7,8,5,6,10,9,4,2,9,1
2089,1,4,4,4,2,10,8,4,8,8,6
2090,2,8,9,9,5,1,1,8,9,1,2
2091,10,6,8,6,8,9,3,5,8,4,9
2092,6,7,7,8,10,7,9,6,1,1,3
2093,7,1,3,8,10,8,10,5,3,4,6
2094,7,7,1,7,7,1,5,9,6,1,1
2095,6,8,9,5,7,8,6,10,4,3,9
2096,5,10,10,10,10,9,10,2,5,8,8
2097,8,2,9,3,3,3,10,3,9,2,2
2098,6,8,10,7,8,8,3,1,8,6,1
2099,9,3,1,4,2,3,2,2,4,9,8
2100,1,9,7,9,8,4,1,8,3,8,2
2101,6,10,2,8,8,5,1,5,7,6,10
2102,10,8,3,2,1,1,6,4,7,4,2
2103,4,7,2,3,8,6,8,2,4,7,7
2104,1,3,2,10,2,1,2,4,9,9,5
2105,6,9,5,2,10,2,8,6,2,7,5
2106,9,3,6,2,6,9,10,6,6,4,3
2107,6,8,5,1,2,5,4,1,7,3,10
2108,1,3,3,9,1,8,8,2,10,8,8
2109,2,4,2,6,2,1,7,5,2,6,3
2110,3,1,3,9,4,2,5,1,4,5,1
2111,5,2,7,6,8,1,5,10,10,6,3
2112,10,9,5,9,3,1,7,4,2,6,4
2113,1,7,2,4,7,4,6,5,5,7,10
2114,2,6,3,1,2,8,7,9,8,9,7
2115,8,4,5,10,2,7,5,7,2,5,4
2116,7,3,3,8,9,6,8,3,2,5,3
2117,6,2,5,9,1,4,4,10,2,10,10
2118,4,4,3,10,3,2,6,1,3,10,6
2119,10,6,9,10,1,2,10,6,5,6,2
2120,7,4,7,6,2,3,4,7,9,1,9
2121,2,4,8,9,2,4,10,10,8,4,8
2122,8,10,10,5,3,7,2,2,10,10,1
2123,9,9,3,4,1,4,6,9,3,10,9
2124,1,3,4,10,7,6,3,9,1,2,2
2125,8,10,3,3,2,8,2,4,5,8,4
2126,9,5,10,1,8,9,2,1,10,10,5
2127,3,5,9,7,6,5,8,3,1,1,4
2128,6,10,8,4,8,4,10,10,8,4,3
2129,8,6,1,7,9,8,5,3,10,4,5
2130,1,7,10,8,7,1,7,6,6,5,4
2131,5,4,10,2,9,1,7,8,6,10,4
2132,6,5,3,3,8,6,7,7,8,1,2
2133,7,7,7,8,5,3,4,6,10,4,9
2134,2,4,5,1,3,6,10,1,4,2,10
2135,6,10,7,4,8,1,4,4,3,6,4
2136,4,8,1,5,6,10,9,3,10,7,4
2137,5,1,7,9,7,1,10,5,7,8,7
2138,5,5,4,3,7,5,6,3,3,4,9
2139,4,8,4,8,9,3,7,9,1,4,10
2140,7,3,1,4,10,8,2,2,4,8,9
2141,5,3,9,4,1,5,4,8,8,6,6
2142,7,10,6,1,4,6,3,8,3,9,1
2143,3,3,6,7,1,7,3,4,8,9,7
2144,5,9,2,9,5,9,1,10,10,7,9
2145,6,9,7,8,1,9,8,9,2,1,4
2146,4,5,10,6,5,10,1,4,5,7,10
2147,7,9,2,2,3,4,6,2,7,4,10
2148,3,9,6,8,10,8,10,8,9,5,9
2149,1,9,9,1,5,6,4,10,7,6,1
2150,9,9,4,10,9,7,6,8,7,10,3
2151,5,8,3,10,9,7,8,8,2,4,10
2152,2,4,8,8,5,1,7,3,10,9,10
2153,7,1,7,10,2,2,6,9,3,2,4
2154,7,4,3,8,3,8,4,10,8,10,8
2155,8,6,10,10,3,6,6,1,4,10,5
2156,6,5,8,10,7,5,5,1,10,7,2
2157,3,3,2,1,10,8,4,5,7,6,7
2158,3,10,10,4,8,9,3,1,4,10,1
2159,7,3,4,10,7,8,4,10,8,2,10
2160,2,1,7,6,4,2,9,10,2,7,7
2161,6,1,8,3,10,5,3,4,2,4,8
2162,4,3,3,8,10,5,7,6,1,5,7
2163,1,2,9,6,9,7,5,7,7,6,5
2164,10,3,8,1,8,9,8,6,4,8,1
2165,3,10,1,8,7,1,9,2,5,10,8
2166,4,6,3,2,9,3,6,5,6,1,2
2167,5,5,5,4,3,7,9,9,8,1,2
2168,3,6,3,7,4,4,4,9,6,6,5
2169,2,6,9,4,1,5,4,1,6,7,9
2170,8,3,7,9,4,10,10,6,6,4,2
2171,9,8,4,9,7,4,7,8,4,4,2
2172,10,2,10,5,2,10,8,2,6,1,9
2173,8,2,3,9,6,4,5,9,4,10,2
2174,6,6,10,2,1,3,1,8,7,5,2
2175,2,10,6,6,1,1,10,1,8,3,7
2176,9,3,10,6,4,10,4,8,5,7,6
2177,10,10,7,2,8,4,6,1,8,1,10
2178,6,7,6,4,10,10,3,5,7,3,3
2179,1,6,2,7,7,1,10,2,10,3,4
2180,2,1,6,7,10,1,3,10,1,2,3
2181,4,10,10,1,2,10,5,10,7,3,5
2182,10,3,6,10,2,6,10,9,9,7,4
2183,8,3,2,1,6,5,2,10,9,2,4
2184,2,5,6,10,2,10,2,6,2,2,1
2185,9,1,5,2,10,3,1,1,9,10,8
2186,8,3,7,8,2,1,7,3,3,8,8
2187,3,4,6,9,3,9,8,7,1,6,9
2188,6,8,7,4,1,8,5,3,7,2,9
2189,5,9,2,1,1,5,5,10,9,3,5
2190,7,9,6,8,7,5,3,7,9,8,4
2191,4,2,5,10,8,6,9,9,10,2,7
2192,9,10,9,7,2,5,10,2,7,7,3
2193,8,8,7,7,3,9,6,10,7,4,8
2194,5,10,1,10,5,8,5,9,9,1,9
2195,2,9,9,7,6,7,8,4,9,5,1
2196,2,9,5,7,6,5,9,10,4,8,6
2197,7,5,7,1,4,5,9,6,10,8,7
2198,7,3,10,10,8,8,10,4,4,6,3
2199,6,8,2,7,2,10,9,9,1,10,9
2200,5,8,8,2,6,9,1,6,9,2,2
2201,2,8,8,9,10,2,5,6,9,9,10
2202,10,6,10,9,4,6,3,2,5,8,7
2203,6,4,9,7,9,4,2,8,7,8,9
2204,6,3,8,1,3,10,10,3,3,8,8
2205,2,6,8,5,3,10,7,7,6,6,2
2206,4,2,4,8,6,2,2,5,3,6,6
2207,2,6,2,6,2,10,4,8,3,10,2
2208,6,9,5,3,2,3,3,4,9,4,7
2209,7,3,8,5,1,2,1,7,5,1,10
2210,4,6,9,1,1,10,8,1,4,10,10
2211,8,7,1,8,2,9,1,1,7,4,10
2212,9,10,6,1,8,1,3,3,7,8,10
2213,9,10,5,9,3,7,10,5,10,7,2
2214,6,8,1,5,9,5,6,2,2,5,6
2215,8,4,7,10,10,2,2,8,6,4,10
2216,2,8,2,6,8,5,5,10,3,6,7
2217,10,3,6,4,7,8,2,10,4,3,3
2218,5,8,7,5,1,9,2,7,9,7,7
2219,8,7,2,3,9,6,10,7,10,8,1
2220,5,9,5,2,5,5,1,6,6,9,7
2221,3,6,8,1,9,9,6,3,5,8,6
2222,6,4,3,10,8,2,5,5,6,6,3
2223,8,8,10,9,1,4,1,7,1,5,2
2224,10,4,7,10,8,10,8,1,3,9,10
2225,8,2,8,2,10,7,6,1,3,9,7
2226,1,3,4,3,10,7,10,10,7,4,9
2227,7,7,5,1,8,1,1,9,1,10,8
2228,6,5,1,4,10,8,2,9,9,6,2
2229,2,3,4,10,5,3,9,2,10,1,4
2230,5,2,3,6,6,10,1,9,1,3,6
2231,6,8,2,1,6,5,4,3,7,5,9
2232,7,4,10,3,2,10,7,1,4,1,5
2233,6,5,8,2,10,1,3,1,4,8,10
2234,8,9,4,4,3,1,6,7,8,7,10
2235,10,10,5,4,9,10,5,5,1,9,10
2236,4,7,10,6,10,8,5,3,2,9,9
2237,4,2,9,7,6,6,4,3,9,9,4
2238,8,6,2,3,10,5,8,6,5,2,9
2239,10,2,5,3,8,7,5,7,5,9,7
2240,6,7,4,1,4,1,2,9,10,4,8
2241,1,7,10,4,9,7,9,8,3,1,7
2242,6,1,1,6,2,7,10,4,10,8,3
2243,1,3,2,8,6,10,6,1,9,4,3
2244,6,2,9,7,9,6,2,5,8,4,10
2245,1,8,7,8,8,3,8,4,7,2,4
2246,10,8,1,3,1,1,10,7,2,3,8
2247,10,1,4,3,1,6,5,2,9,2,7
2248,9,10,1,7,4,5,8,6,2,3,3
2249,9,2,8,1,8,6,6,5,3,7,10
2250,9,3,8,6,10,3,4,5,1,8,7
2251,8,9,8,4,9,4,10,9,9,10,7
2252,4,8,10,2,10,1,3,5,10,6,5
2253,2,6,2,9,8,8,9,8,1,6,2
2254,2,3,2,3,9,9,5,5,6,4,3
2255,7,6,10,5,2,2,3,10,7,1,9
2256,4,2,9,8,1,7,4,9,4,3,10
2257,4,9,9,7,8,7,3,5,8,7,7
2258,4,2,2,7,7,10,4,1,3,8,1
2259,7,8,5,1,2,1,10,6,4,7,6
2260,3,5,8,2,7,2,9,2,2,1,7
2261,8,8,7,8,2,7,9,8,8,7,2
2262,1,6,10,8,1,1,8,4,10,5,6
2263,8,2,6,6,5,5,5,1,9,10,4
2264,2,7,3,8,3,8,1,8,5,1,4
2265,1,7,7,1,10,7,6,8,2,3,7
2266,2,9,10,9,9,4,1,2,2,6,2
2267,5,1,1,5,6,10,1,10,4,4,10
2268,4,4,1,2,8,9,5,10,5,10,6
2269,10,2,3,4,9,7,8,9,9,7,2
2270,2,7,7,5,3,1,8,9,4,7,1
2271,6,5,2,1,5,9,7,6,7,4,6
2272,4,3,4,3,1,7,3,1,8,3,4
2273,7,7,3,9,7,3,10,4,8,10,10
2274,3,6,9,10,4,2,7,2,6,3,4
2275,5,7,4,8,10,3,9,6,9,4,7
2276,5,3,7,10,3,8,8,3,3,6,2
2277,3,10,10,8,9,8,2,8,4,10,5
2278,6,3,4,2,9,1,2,5,10,9,2
2279,4,6,2,2,8,4,5,3,4,4,4
2280,4,2,8,10,10,5,5,3,4,5,6
2281,8,7,2,5,3,6,7,7,8,10,5
2282,3,3,2,9,9,5,2,8,6,9,5
2283,8,10,2,1,5,7,1,10,3,5,6
2284,4,7,6,6,7,3,4,1,6,1,9
2285,7,1,2,4,10,2,1,8,7,10,7
2286,3,9,8,10,2,9,7,4,3,10,3
2287,3,9,6,7,9,2,3,3,6,10,6
2288,2,2,5,4,9,2,2,9,3,4,3
2289,9,5,1,4,10,8,4,7,1,9,4
2290,6,2,10,3,9,1,7,10,4,5,9
2291,3,6,2,7,7,7,7,4,6,3,2
2292,9,10,9,6,2,10,5,3,3,4,3
2293,6,9,5,7,2,3,7,4,8,7,9
2294,3,4,6,9,9,2,3,7,8,1,9
2295,7,7,9,7,2,1,10,6,5,5,7
2296,8,7,1,2,8,9,1,7,2,5,6
2297,2,4,3,10,9,1,1,7,7,2,10
2298,9,10,9,3,3,4,10,4,4,9,8
2299,4,4,7,3,3,9,3,10,5,1,8
2300,9,6,10,1,7,2,8,2,8,9,5
2301,3,3,9,5,2,7,9,9,6,10,8
2302,1,6,2,5,7,5,6,7,1,6,5
2303,3,6,6,5,1,8,7,9,10,1,10
2304,10,3,8,6,8,4,4,9,10,6,3
2305,2,10,9,8,3,1,5,7,2,9,6
2306,6,4,3,1,10,4,9,9,7,1,1
2307,5,2,4,6,8,7,3,8,4,2,4
2308,9,1,5,4,2,7,7,6,5,1,10
2309,4,7,1,6,4,3,8,8,10,8,6
2310,3,10,2,7,4,5,9,8,2,5,8
2311,5,4,4,9,1,10,3,1,7,9,4
2312,6,5,7,6,8,4,10,3,6,6,8
2313,4,9,1,4,9,8,6,4,10,4,1
2314,8,10,1,9,9,8,3,3,1,4,8
2315,4,6,10,6,2,10,10,10,1,10,7
2316,9,9,5,10,9,5,7,3,6,5,10
2317,7,5,9,4,4,9,10,7,9,7,2
2318,6,7,7,1,6,2,8,5,8,5,7
2319,10,10,8,5,4,2,4,2,10,5,7
2320,2,5,10,9,4,8,7,2,1,9,4
2321,6,7,7,3,5,9,6,8,4,5,10
2322,8,7,5,1,10,5,9,2,2,10,6
2323,8,9,2,5,1,7,3,2,2,7,3
2324,10,1,3,2,5,10,4,8,5,2,3
2325,6,5,4,5,3,4,8,9,3,8,2
2326,8,10,9,2,7,2,6,2,5,1,3
2327,1,10,2,3,5,10,8,10,9,10,1
2328,3,5,8,3,3,6,8,2,9,5,9
2329,3,10,10,1,5,9,5,10,9,6,10
2330,7,10,2,5,9,5,2,8,5,9,6
2331,6,6,8,4,9,5,7,9,10,3,4
2332,10,5,6,4,6,9,2,3,8,8,3
2333,8,4,4,1,2,7,9,1,6,1,6
2334,3,10,4,4,6,4,8,7,2,3,6
2335,8,1,3,3,8,1,9,8,7,9,7
2336,9,7,8,6,5,8,9,7,7,6,5
2337,5,4,6,1,4,10,6,6,6,7,10
2338,3,3,9,8,1,5,6,2,2,10,3
2339,10,10,3,7,5,9,5,6,4,3,6
2340,3,6,3,1,6,4,6,9,2,7,6
2341,3,7,2,7,5,10,3,1,5,10,8
2342,2,1,8,4,6,2,8,6,9,4,9
2343,8,3,9,3,10,3,5,1,8,3,5
2344,10,8,6,3,5,2,3,10,5,6,5
2345,2,3,7,2,1,3,8,8,7,4,1
2346,6,9,3,6,8,10,8,10,8,2,2
2347,6,7,3,6,2,10,10,5,6,6,1
2348,7,9,1,3,10,10,4,4,2,10,7
2349,1,7,9,8,3,6,2,7,2,4,1
2350,5,1,8,6,9,7,9,6,4,1,5
2351,3,1,9,3,8,3,5,3,9,9,2
2352,10,4,8,7,10,1,4,6,5,4,10
2353,5,3,7,4,1,10,3,2,2,5,2
2354,3,10,9,8,10,7,3,8,9,3,4
2355,4,7,3,6,5,4,6,9,5,5,4
2356,7,4,2,9,1,8,4,6,3,7,6
2357,2,9,1,10,7,1,8,4,6,8,3
2358,7,3,4,10,9,7,10,9,2,6,4
2359,10,2,6,2,8,1,3,1,7,7,8
2360,2,2,10,9,9,10,7,9,2,6,7
2361,2,9,6,3,9,3,5,6,9,7,10
2362,8,5,4,8,9,10,1,9,3,3,8
2363,7,2,4,8,2,5,9,7,6,2,3
2364,3,10,10,2,6,7,8,3,7,3,10
2365,7,6,6,5,8,2,5,5,5,1,6
2366,7,7,9,6,2,8,3,1,9,6,8
2367,1,2,2,8,3,6,4,2,1,8,7
2368,8,8,3,8,3,6,5,5,8,7,9
2369,2,3,2,2,10,5,1,6,2,4,1
